id,address,area,bedrooms,bikeScore,datetime,distanceToNearestIntersection,geotag,has_image,has_map,name,postalCode,price,repost_of,sideOfStreet,transitScore,url,walkScore,where
6907744079,99 Livingstone Ave,827ft2,1,40.0,2019-06-23 15:08,0.0,"[41.00484, -73.856468]",True,True,"1 bed- wide plank flooring, gas cooking, nest learning thermostat",10522,$2780,,L,,https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bed-wide-plank-flooring/6907744079.html,41.0,
6918630101,49 Patchen Ave,,1,72.0,2019-06-23 15:04,37.11116276707774,"[40.6907, -73.9274]",True,True,queen size rm(s) in awesome bushwick apt / m l / no fee,11221-2935,$875,,L,92.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-queen-size-rms-in-awesome/6918630101.html,96.0,bushwick / easy commute / asap / m l / no fee
6908895228,14 Linden Pl,605ft2,1,65.0,2019-06-23 15:03,81.22465278646109,"[41.0602, -73.5445]",True,True,"historic loft style 1br, heat included in rent!",06902-2305,$2065,,L,,https://newyork.craigslist.org/fct/abo/d/stamford-historic-loft-style-1br-heat/6908895228.html,88.0,
6918675902,14 Linden Pl,518ft2,,65.0,2019-06-23 15:02,81.22465278646109,"[41.0602, -73.5445]",True,True,"rustic loft studio w/ heat, concierge services, shuttle service",06902-2305,$1727,,L,,https://newyork.craigslist.org/fct/abo/d/stamford-rustic-loft-studio-heat/6918675902.html,88.0,
6908149756,494 Amsterdam Ave,1175ft2,2,86.0,2019-06-23 15:00,21.351039422169144,"[40.7864, -73.9764]",True,True,large 2br/2ba in a prewar top uws address*high fl w great light*drmn!,10024-4602,$6200,6258818141,L,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-large-2br-2ba-in-prewar/6908149756.html,99.0,upper west side
6908148857,1355 2nd Ave,725ft2,1,85.0,2019-06-23 15:00,40.74293100934536,"[40.7685, -73.9588]",True,True,no fee *70's & 2ave*perfect loc*luxury 1br*full service drmn bldg!,10021-4504,$3895,5584148684,L,100.0,https://newyork.craigslist.org/mnh/abo/d/no-fee-70s-2aveperfect-locluxury/6908148857.html,100.0,upper east side
6918619439,645 Halsey St,,1,66.0,2019-06-23 14:58,0.0,"[40.684503, -73.926384]",True,True,spacious 1br ** laundry roon **^ hardwood floors,11233-1201,$2293,,L,97.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-1br-laundry-roon/6918619439.html,93.0,bed stuy ** halsey @@
6918581910,465 Marcus Garvey Blvd,,3,73.0,2019-06-23 14:58,20.37157998181443,"[40.681109, -73.937671]",True,True,"conveniently located to the laundromat,grocery store,and train access",11216-2530,$2885,,L,99.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-conveniently-located-to-the/6918581910.html,96.0,bed-stuy
6918588186,494 Amsterdam Ave,,1,86.0,2019-06-23 14:57,21.351039422169144,"[40.7864, -73.9764]",False,True,newly reno apt uws.. 1br,10024-4602,$1255,,L,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-newly-reno-apt-uws-1br/6918588186.html,99.0,upper west side
6918671512,8814 162nd St,,2,66.0,2019-06-23 14:56,52.652031140744164,"[40.707949, -73.800216]",True,True,clean 2 bedroom apartment for rent,11432-4033,$1800,6897716936,R,100.0,https://newyork.craigslist.org/que/abo/d/jamaica-clean-2-bedroom-apartment-for/6918671512.html,98.0,"jamaica hills, ny"
6913538106,210 Schaefer St,,2,74.0,2019-06-23 14:56,0.0,"[40.690219, -73.907292]",True,True,huge 900 sqft entire floor 2.5 bed! king + queen rooms + office!,11207-1321,$2599,,R,97.0,https://newyork.craigslist.org/brk/abo/d/ridgewood-huge-900-sqft-entire-floor-25/6913538106.html,90.0,bushwick
6903058557,435 Prospect Pl,,3,95.0,2019-06-23 14:56,122.20290954836096,"[40.67635, -73.961699]",True,True,very spacious 3 bedrooms 2 bathrooms apt -king/queen size-laundry-roof,11238-4102,$3333,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-very-spacious-3-bedrooms-2/6903058557.html,97.0,crown heights - no brokers fee
6913533387,1601 Cornelia St,,1,82.0,2019-06-23 14:56,0.0,"[40.697764, -73.908008]",True,True,massive gorgeous 1 bed duplex with huge basement + in-unit laundry,11385-4711,$2349,,L,99.0,https://newyork.craigslist.org/brk/abo/d/ridgewood-massive-gorgeous-1-bed-duplex/6913533387.html,95.0,bushwick
6918641447,3 Hopewell Woods Rd,700ft2,1,10.0,2019-06-23 14:55,47.04565898093674,"[41.322766, -73.356303]",True,True,cozy cottage,06896-1726,$1300,3477044866,L,,https://newyork.craigslist.org/fct/abo/d/cozy-cottage/6918641447.html,0.0,"redding, ct"
6918634510,301 E 112th St,,1,88.0,2019-06-23 14:54,1.5548293284020656,"[40.794467, -73.93963]",True,True,"$1,200.00 furnished room available now in 2 bedroom apt!!!",10029-2903,$1200,1884021344,L,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-furnished-room-available/6918634510.html,97.0,east harlem
6918586068,920 Jefferson Ave,,1,68.0,2019-06-23 14:53,0.2647170722641161,"[40.68665, -73.92074]",True,True,1.5 br *#* open kitchen  #* large and cozy queen size bedroom,11221-4205,$1750,,R,99.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-15-br-open-kitchen-large-and/6918586068.html,95.0,bed stuy #@ jefferson
6913695637,1798 Bleecker St,,3,82.0,2019-06-23 14:53,0.0,"[40.705002, -73.911396]",True,True,beautiful 3 br____large rooms____central ac___no fee!!!!!!!!!!,11385-1751,$2450,6713971045,R,97.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-3-brlarge/6913695637.html,94.0,ridgewood -lm trains
6898439763,381 Sumpter St,,3,62.0,2019-06-23 14:53,179.05163713309463,"[40.681313, -73.909837]",True,True,brand new 3 br/1.5baths_____laundry___bike storage___dishwasher_deck!!,11233-2518,$2500,6621478175,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-brand-new-3-br/6898439763.html,88.0,bed stuy ----jz @chauncey -broadway junction
6911181133,644 Marcy Ave,,1,85.0,2019-06-23 14:53,0.0,"[40.69244, -73.948622]",True,True,awesome lovely 1 br____spacious and sunny______great location___,11206-6434,$1900,6621478175,R,93.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-awesome-lovely-1-brspacious/6911181133.html,92.0,bed stuy -g @myrtle willoughby
6902844837,381 Sumpter St,,3,62.0,2019-06-23 14:53,179.05163713309463,"[40.681313, -73.909837]",True,True,brand new 3 br duplex____penthouse____huge private deck___2 baths_____,11233-2518,$2900,6621478175,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-brand-new-3-br/6902844837.html,88.0,bed stuy ----jz @chauncey -broadway junction
6914303122,381 Sumpter St,,3,62.0,2019-06-23 14:53,179.05163713309463,"[40.681313, -73.909837]",True,True,brand new duplex___1.5baths_____laundry___bike storage___dishwasher_,11233-2518,$2900,6621478175,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-brand-new/6914303122.html,88.0,bed stuy ----jz @chauncey -broadway junction
6918579198,29 Thornton St,,2,79.0,2019-06-23 14:53,63.01370985846151,"[40.7012, -73.9436]",True,True,w/d installed_no feehuge apart. 2bed _super dope  *.: small pet./share,11206-4417,$2999,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-d-installedno-feehuge-apart/6918579198.html,98.0,williamsburg / brooklyn
6912717344,2 Gordon Ave,1179ft2,2,40.0,2019-06-23 14:52,3.78112410347678,"[40.464, -74.2742]",True,True,"2 bed- 24 hour fitness room, in-unit washer and dryer, swimming pool",08879-2082,$1900,,L,,https://newyork.craigslist.org/jsy/abo/d/south-amboy-2-bed-24-hour-fitness-room/6912717344.html,31.0,
6915119131,219 E 32nd St,700ft2,1,86.0,2019-06-23 14:52,113.74125460663312,"[40.7443, -73.9781]",True,True,24h doorman luxury bdlg mega 1 bedroom king bed,10016-6305,$2600,6222469724,L,100.0,https://newyork.craigslist.org/mnh/abo/d/24h-doorman-luxury-bdlg-mega-1-bedroom/6915119131.html,100.0,murray hill
6897824088,1 White St,,3,77.0,2019-06-23 14:51,0.0,"[40.703243, -73.934562]",True,True,* _artist & musicians_loft_ with  3_rms.__lots of windows__no fee_____,11206-3705,$2999,5269581398,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-artist-musiciansloft-with/6897824088.html,97.0,___williamsburg__ __l & j m___trains_____
6914762349,8703 168th Pl,,2,46.0,2019-06-23 14:51,23.41910492256359,"[40.7119, -73.7944]",False,True,"apartment for rent, 2 bedrooms on hillside avenue 2br / 1",11432-3629,$1800,,L,100.0,https://newyork.craigslist.org/que/abo/d/jamaica-apartment-for-rent-2-bedrooms/6914762349.html,98.0,
6916452743,423 Bloomfield Ave,752ft2,1,54.0,2019-06-23 14:51,66.07612690606202,"[40.8131, -74.2165]",True,True,"1 bedroom - dual vanities, view, valet trash service",07042-3505,$2200,,R,,https://newyork.craigslist.org/jsy/abo/d/montclair-1-bedroom-dual-vanities-view/6916452743.html,96.0,
6898106997,18020 Hillside Ave,,2,58.0,2019-06-23 14:50,14.917901170624251,"[40.712988, -73.781819]",False,True,"apartment for rent, 2 bedrooms on hillside avenue",11432-4728,$2100,6268870637,R,100.0,https://newyork.craigslist.org/que/abo/d/apartment-for-rent-2-bedrooms-on/6898106997.html,92.0,
6914780241,1368 Putnam Ave,,3,89.0,2019-06-23 14:50,100.89384239622649,"[40.694322, -73.912261]",True,True,"*newly renovated large 3 apt*private backyard*near z,j,m trains*",11221-5032,$2645,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-newly-renovated-large-3/6914780241.html,92.0,bushwick
6898111908,18020 Hillside Ave,,2,58.0,2019-06-23 14:50,14.917901170624251,"[40.712988, -73.781819]",True,True,"apartment for rent, 2 bedrooms on hillside avenue",11432-4728,$2000,6268870637,R,100.0,https://newyork.craigslist.org/que/abo/d/apartment-for-rent-2-bedrooms-on/6898111908.html,92.0,
6915102810,1324 Park Pl,,2,89.0,2019-06-23 14:48,0.06357768556342726,"[40.672515, -73.933553]",True,True,"beautiful 2 bedroom apartment with granite counters, hardwood floors",11213-2903,$2300,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-2-bedroom-apartment/6915102810.html,95.0,crown heights
6915112576,716 Prospect Pl,,3,91.0,2019-06-23 14:48,0.3251282075228017,"[40.674462, -73.952849]",True,True,big living room!  surrounded by all of the shops and restaurants,11216-3602,$2900,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-big-living-room-surrounded-by/6915112576.html,98.0,crown heights
6914745494,451 Prospect Pl,,,95.0,2019-06-23 14:48,168.79321415912685,"[40.676252, -73.961291]",True,True,prime prospect heights~3 bedrooms 2 bathrooms~new~roof top and laundry,11238-4102,$3334,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-prime-prospect-heights3/6914745494.html,97.0,prime prospect heights - no brokers fee.
6918593812,134 India St,,,92.0,2019-06-23 14:48,0.897532117565352,"[40.732324, -73.954609]",True,True,studio w/huge backyard 4you in great location,11222-1804,$1620,6779516459,R,85.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-studio-huge-backyard-4you-in/6918593812.html,97.0,"greenpoint, williamsburg"
6902629150,7544 263rd St,,,74.0,2019-06-23 14:47,37.35141176539647,"[40.7481, -73.7114]",True,True,3 bedroom apt for rent in excellent condition,11004-1146,$2300,,R,62.0,https://newyork.craigslist.org/que/abo/d/glen-oaks-3-bedroom-apt-for-rent-in/6902629150.html,87.0,floral park
6914717058,495 Van Buren St,,1,76.0,2019-06-23 14:47,117.35100461281847,"[40.691898, -73.928901]",True,True,beautiful 1 bedroom - exposed brick -all new-1 block away j train -,11221-3009,$1868,,L,94.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-1-bedroom-exposed/6914717058.html,95.0,bedstuy - no brokers fee
6917117356,3799 Avenue L,876ft2,2,63.0,2019-06-23 14:46,0.0,"[40.622827, -73.938412]",True,True,grand new  large renovated 2 ♣♣♣ bed on east 38th street & avenue l,11210-5447,$1699,,L,85.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-grand-new-large-renovated-2/6917117356.html,91.0,flatbush / midwood
6917112321,2038 Bedford Ave,,,81.0,2019-06-23 14:46,0.0,"[40.655049, -73.9563]",True,True,^^ xl renovated studio ob clarkson avenue ^^ bedford avenue must see,11226-1905,$1499,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-xl-renovated-studio-ob/6917112321.html,95.0,lefferts gardens/ prospect park
6917119645,2298 Caton Ave,,2,79.0,2019-06-23 14:46,0.0,"[40.652314, -73.95601]",True,True,sunny soaked 2 ♦♦♦ bed by prospect park/ linden blvd,11226,$1949,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-sunny-soaked-2-bed-by-prospect/6917119645.html,97.0,prospect park/ lefferts garden
6909594876,653 Saint Marks Ave,,3,94.0,2019-06-23 14:46,144.4107234175411,"[40.675488, -73.951432]",True,True,am amazing 3.5 bedrooms with 2 bathrooms-dishwasher-great size-,11216-3604,$3395,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-am-amazing-35-bedrooms-with-2/6909594876.html,98.0,crown heights - no brokers fee
6917114458,542 Flatbush Ave,665ft2,,86.0,2019-06-23 14:46,0.38475018130411914,"[40.660897, -73.960877]",True,True,magnificent newly renovated large ### studio by prospect park entrance,11225-4804,$1549,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-magnificent-newly-renovated/6917114458.html,92.0,prospect park/lefferts gardens
6909708026,556 Gates Ave,,2,79.0,2019-06-23 14:45,149.03436330339554,"[40.686846, -73.943278]",True,True,*2br 1.5 bathrooms-spacious-roof top and laundry room*exposed brick*,11221-1201,$2383,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-2br-15-bathrooms-spacious-roof/6909708026.html,91.0,bedstuy
6916958440,802 Wyckoff Ave,,3,84.0,2019-06-23 14:45,4.435379795098247,"[40.698202, -73.908757]",True,True,awesome 3br/2ba in @^@  luxury ridgewood arcade bldng,11237-6007,$3299,,R,100.0,https://newyork.craigslist.org/que/abo/d/brooklyn-awesome-3br-2ba-in-luxury/6916958440.html,95.0,ridgewood
6916960318,1583 Broadway,,1,74.0,2019-06-23 14:45,1.5770073180866802,"[40.685645, -73.91529]",True,True,brand new luxury 1br  ▼ elevator/gym/laundry,11207-1002,$2475,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-brand-new-luxury-1br-elevator/6916960318.html,95.0,bushwick
