,id,address,area,bedrooms,bikeScore,datetime,distanceToNearestIntersection,has_image,has_map,name,postalCode,price,repost_of,sideOfStreet,transitScore,url,walkScore,where,lat,lon,includes_area,year,month,dow,day,hour,bedrooms_filled
64,6913769135,12003 Liberty Ave,,,58,2019-06-22 00:52:00,30.075313704155086,False,True,One bedroom apartment,11419-2117,1150,,L,81.0,https://newyork.craigslist.org/que/abo/d/south-richmond-hill-one-bedroom/6913769135.html,91,Richmond hill/ ozone park,40.6868, -73.823,0,2019,6,5,22,0,
65,6913769135,12003 Liberty Ave,,,58,2019-06-22 00:52:00,30.075313704155086,False,True,One bedroom apartment,11419-2117,1150,,L,81.0,https://newyork.craigslist.org/que/abo/d/south-richmond-hill-one-bedroom/6913769135.html,91,Richmond hill/ ozone park,40.6868, -73.823,0,2019,6,5,22,0,
87,6917702631,967 Park Pl,,,92,2019-06-22 04:11:00,73.65431172722127,True,True,Large Rooms in Beautiful Brownstone Light & Gas Included,11213-1802,900,4768622568.0,L,,https://newyork.craigslist.org/brk/abo/d/large-rooms-in-beautiful-brownstone/6917702631.html,96,crown heights,40.673152, -73.945284,0,2019,6,5,22,4,
88,6917702631,967 Park Pl,,,92,2019-06-22 04:11:00,73.65431172722127,True,True,Large Rooms in Beautiful Brownstone Light & Gas Included,11213-1802,900,4768622568.0,L,,https://newyork.craigslist.org/brk/abo/d/large-rooms-in-beautiful-brownstone/6917702631.html,96,crown heights,40.673152, -73.945284,0,2019,6,5,22,4,
