,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
314,73254,64 3rd Ave,,2.0,93.0,,100.0,2019-07-25 13:13:00+00:00,25.4789,True,True,GORGEOUS RENOV'D 1BR((((EAST VILL))))EXPO BRICK~~W/D IN THE UNIT,3529,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-gorgeous-renovd-1breast/6941817795.html,40.731300,-73.989200,False,False,True,10003,Lower East Side,Manhattan
315,73267,64 3rd Ave,,2.0,93.0,,100.0,2019-07-25 13:05:00+00:00,25.4789,True,True,"*NEW LISTING* Huge 2 BD, Less than 5 minutes to NYU!",3695,L,https://newyork.craigslist.org/mnh/fee/d/new-york-city-new-listing-huge-2-bd/6941846385.html,40.731300,-73.989200,False,False,False,10003,Lower East Side,Manhattan
316,73296,93 4th Ave,1150.0,3.0,92.0,,100.0,2019-07-25 14:36:00+00:00,15.1952,True,True,*** HUGE NO FEE 3 BED/2 BATH: IN-UNIT WASHER + DRYER ***,5995,R,https://newyork.craigslist.org/mnh/abo/d/new-york-city-huge-no-fee-3-bed-2-bath/6937952905.html,40.732048,-73.989637,True,True,False,10003,Lower East Side,Manhattan
317,73309,85 E 10th St,1250.0,3.0,93.0,,100.0,2019-07-25 14:22:00+00:00,78.4099,True,True,"*** HUGE NO FEE 3 BED/2 BATH: IN-UNIT WASHER/DRYER, BALCONY ***",5995,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-huge-no-fee-3-bed-2-bath/6937951879.html,40.731137,-73.989583,True,True,False,10003,Lower East Side,Manhattan
318,73388,64 3rd Ave,1200.0,5.0,93.0,,100.0,2019-07-25 15:10:00+00:00,25.4789,False,True,"NEW TO THE MARKET,5BR,3BATH,WEST 47 STREET/8TH AVEWON'T LAST",6400,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-new-to-the/6938617550.html,40.731300,-73.989200,True,False,True,10003,Lower East Side,Manhattan
319,73390,64 3rd Ave,1200.0,3.0,93.0,,100.0,2019-07-25 15:10:00+00:00,25.4789,False,True,"NEW TO THE MARKET,EAST 50 STREET/3RD AVE,AUG1,XXLARGE 3 BEDROOMS ,DEAL",4500,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-new-to-the-marketeast-50/6936694338.html,40.731300,-73.989200,True,False,True,10003,Lower East Side,Manhattan
320,73392,399 E 9th St,,1.0,95.0,,100.0,2019-07-25 15:09:00+00:00,0.0431,True,True,CLEAN BUILDING,2710,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-clean-building/6941920105.html,40.728194,-73.984875,False,False,False,10003,Lower East Side,Manhattan
321,73418,64 3rd Ave,800.0,2.0,93.0,,100.0,2019-07-25 16:38:00+00:00,25.4789,True,True,"AMAZING 2 BEDROOM/ 2 BATH W/ LARGE EXPOSURE, NO FEE & OPEN KITCHEN!!",3750,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-amazing-2-bedroom-2-bath/6931297294.html,40.731300,-73.989200,True,True,True,10003,Lower East Side,Manhattan
322,73425,64 3rd Ave,750.0,2.0,93.0,,100.0,2019-07-25 16:38:00+00:00,25.4789,True,True,"Spacious 2 Bedroom W/ 2 Bath ,SS Appliances, New Floors, Open Kitch.",3750,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-spacious-2-bedroom-2-bath/6931288157.html,40.731300,-73.989200,True,False,True,10003,Lower East Side,Manhattan
323,73432,64 3rd Ave,,3.0,93.0,,100.0,2019-07-25 16:34:00+00:00,25.4789,True,True,Beautiful 3 bedroom W/ Balcony! W/D in unit!! East Village! *NO FEE*,5795,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-beautiful-3-bedroom/6936069655.html,40.731300,-73.989200,False,True,False,10003,Lower East Side,Manhattan
324,73434,64 3rd Ave,,4.0,93.0,,100.0,2019-07-25 16:34:00+00:00,25.4789,True,True,Brand new custom renovated 4 bedroom !! **NO FEE**,11913,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-brand-new-custom/6936084583.html,40.731300,-73.989200,False,True,False,10003,Lower East Side,Manhattan
325,73450,64 3rd Ave,,3.0,93.0,,100.0,2019-07-25 16:24:00+00:00,25.4789,True,True,beautiful 3 bedroom W/ Balcony! W/D in unit!! East Village!,5795,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-beautiful-3-bedroom/6936088190.html,40.731300,-73.989200,False,False,False,10003,Lower East Side,Manhattan
326,73534,64 3rd Ave,,,93.0,,100.0,2019-07-25 18:28:00+00:00,25.4789,True,True,SPACIOUS Studio Near EVERYTHING,3095,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-spacious-studio-near/6942011295.html,40.731300,-73.989200,False,False,False,10003,Lower East Side,Manhattan
