,id,address,area,bedrooms,bikeScore,transitScore,walkScore,datetime,distanceToNearestIntersection,hasImage,hasMap,name,price,sideOfStreet,url,longitude,latitude,includesArea,advertisesNoFee,isRepost,postalCode,neighborhood
0,65135,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-21 18:33:00+00:00,0.0131,True,True,THIS IS THE ONE YOU’VE BEEN LOOKING FOR… CALL TODAY TO VIEW,2875,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-this-is-the-one-youve-been/6914527887.html,-73.9343,40.6941,False,False,False,11221,Sunset Park
1,65136,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-21 18:33:00+00:00,0.0131,True,True,SIMPLIFY YOUR SEARCH WITH US**PRO TEAM W/ BIG INVENTORY OF NO FEE APTS,2800,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-simplify-your-search-with/6914529944.html,-73.9343,40.6941,False,True,False,11221,Sunset Park
2,65140,1149 Bushwick Ave,,3.0,77.0,95.0,94.0,2019-06-21 18:31:00+00:00,0.0000,True,True,Beautiful renovated 3br - laundry in unit - no fee,2875,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-renovated-3br/6915405145.html,-73.9176,40.6892,False,True,False,11221,Sunset Park
3,65155,790 Lexington Ave,,3.0,72.0,92.0,96.0,2019-06-21 18:52:00+00:00,0.0000,True,True,"Cut your search time in half… work with experienced,to find apt",3000,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-cut-your-search-time-in-half/6911933111.html,-73.9275,40.6904,False,False,False,11221,Sunset Park
4,65159,552 Gates Ave,,2.0,79.0,100.0,91.0,2019-06-21 18:51:00+00:00,129.3105,True,True,AMAZING 2BR 1.5BA*SPACIOUS APT *Roof Top*Yard*Laundry Room*,2383,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-amazing-2br-15baspacious-apt/6917203546.html,-73.9435,40.6868,False,False,False,11221,Sunset Park
5,65210,72 Patchen Ave,,3.0,68.0,91.0,95.0,2019-06-21 19:28:00+00:00,0.1304,True,True,Very spacious bedrooms each with windows,2800,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-very-spacious-bedrooms-each/6917225516.html,-73.9274,40.6896,False,False,False,11221,Sunset Park
6,65218,641 Bushwick Ave,,2.0,83.0,97.0,98.0,2019-06-21 19:51:00+00:00,0.0000,True,True,"Beautiful two bedroom, 1.5 bathroom apartment",2500,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-two-bedroom-15/6917276012.html,-73.9332,40.6979,False,False,False,11221,Sunset Park
7,65223,383 Kosciuszko St,,2.0,81.0,97.0,93.0,2019-06-21 19:49:00+00:00,48.3134,True,True,"High Ceilings, Lux, Elevator, Perfect for Roommates, Full Amenities",2795,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-high-ceilings-lux-elevator/6917274293.html,-73.9394,40.6921,False,False,True,11221,Sunset Park
8,65229,136 Cornelia St,,3.0,85.0,97.0,91.0,2019-06-21 19:48:00+00:00,87.6882,True,True,"3 Bed 3 Full Bath in Bushwick, No Fee",3600,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-3-bed-3-full-bath-in-bushwick/6917336780.html,-73.9149,40.6908,False,True,False,11221,Sunset Park
9,65239,751 Putnam Ave,,4.0,66.0,96.0,91.0,2019-06-21 20:10:00+00:00,182.1135,True,True,LARGE BEAUTIFUL 4 Bedroom Apartment In The Heart Of BedStuy!,3400,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-large-beautiful-4-bedroom/6917317842.html,-73.9314,40.6862,False,False,False,11221,Sunset Park
