,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
293,29327,3095 Kingsbridge Ave,1100.0,3.0,71.0,92.0,98.0,2019-06-27 23:24:00+00:00,11.5590,True,True,@ Three (3) Bedroom Two (2) Bath PVT House On Saxon Avenue,2600,L,https://newyork.craigslist.org/brx/abo/d/bronx-three-3-bedroom-two-2-bath-pvt/6922046691.html,40.8798,-73.9067,True,False,True,10463,Kingsbridge and Riverdale,Bronx
294,29349,3020 Bouck Ave,1200.0,2.0,67.0,80.0,91.0,2019-06-28 00:29:00+00:00,82.8749,True,True,APARTMENT FOR RENT,2800,R,https://newyork.craigslist.org/wch/abo/d/bronx-apartment-for-rent/6913142880.html,40.8702,-73.8495,True,False,True,10469,Northeast Bronx,Bronx
295,29350,2401 Wilson Ave,1200.0,2.0,81.0,80.0,76.0,2019-06-28 00:29:00+00:00,0.1327,True,True,APARTMENT FOR RENT,2800,L,https://newyork.craigslist.org/brx/abo/d/bronx-apartment-for-rent/6913138526.html,40.8610,-73.8492,True,False,True,10469,Northeast Bronx,Bronx
296,29352,2401 Wilson Ave,1100.0,2.0,81.0,80.0,76.0,2019-06-28 00:28:00+00:00,0.1327,True,True,Large 2 bedroom apartment for rent,2800,L,https://newyork.craigslist.org/brx/abo/d/bronx-large-2-bedroom-apartment-for-rent/6916888836.html,40.8610,-73.8492,True,False,True,10469,Northeast Bronx,Bronx
310,29601,1296 Mace Ave,1200.0,2.0,77.0,,82.0,2019-06-28 09:55:00+00:00,0.8957,True,True,Apartment For Rent,2800,R,https://newyork.craigslist.org/mnh/abo/d/bronx-apartment-for-rent/6922183032.html,40.8629,-73.8492,True,False,True,10469,Northeast Bronx,Bronx
330,30069,3058 Barkley Ave,1000.0,3.0,59.0,,78.0,2019-06-28 17:23:00+00:00,41.8737,True,True,Large three-bedroom in Throgs Neck,2100,R,https://newyork.craigslist.org/brx/abo/d/bronx-large-three-bedroom-in-throgs-neck/6921026507.html,40.8326,-73.8231,True,False,True,10465,Southeast Bronx,Bronx
331,30081,639 Logan Ave,1200.0,3.0,58.0,,85.0,2019-06-28 17:14:00+00:00,109.9545,True,True,Beautiful renovated apartment,2300,L,https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-renovated-apartment/6922514703.html,40.8261,-73.8196,True,False,True,10465,Southeast Bronx,Bronx
336,30105,1439 Kennellworth Pl,1200.0,3.0,57.0,,69.0,2019-06-28 18:36:00+00:00,45.5906,True,True,COUNTRY CLUB- LARGE 3 BEDROOM,2500,L,https://newyork.craigslist.org/brx/abo/d/bronx-country-club-large-3-bedroom/6910039488.html,40.8429,-73.8227,True,False,True,10465,Southeast Bronx,Bronx
341,30280,953 E 232nd St,1288.0,3.0,70.0,84.0,87.0,2019-06-28 21:17:00+00:00,140.6985,True,True,1025  rental,2300,L,https://newyork.craigslist.org/brx/abo/d/bronx-1025-rental/6922733118.html,40.8904,-73.8503,True,False,True,10466,Northeast Bronx,Bronx
354,30717,1090 Lydig Ave,1200.0,3.0,82.0,,86.0,2019-06-29 11:11:00+00:00,26.4243,False,True,BEAUTIFUL 3 BEDROOM 2 FULL BATH,2800,R,https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-3-bedroom-2-full-bath/6922976641.html,40.8546,-73.8573,True,False,True,10461,Southeast Bronx,Bronx
357,30801,2553 Young Ave,850.0,1.0,65.0,,81.0,2019-06-29 13:41:00+00:00,99.6548,True,True,"1BR, Pelham Gardens, Private Entrance",1400,L,https://newyork.craigslist.org/brx/abo/d/bronx-1br-pelham-gardens-private/6923103827.html,40.8644,-73.8482,True,False,True,10469,Northeast Bronx,Bronx
358,30805,444 E 136th St,1200.0,3.0,80.0,,95.0,2019-06-29 13:33:00+00:00,174.8893,True,True,"NO FEE – Huge, Renovated 3 BR, 2 BA Duplex – 136th St. Mott Haven",2704,R,https://newyork.craigslist.org/brx/abo/d/bronx-no-fee-huge-renovated-3-br-2-ba/6921448997.html,40.8070,-73.9225,True,True,True,10454,Hunts Point and Mott Haven,Bronx
365,30923,Adler Pl,800.0,1.0,71.0,,62.0,2019-06-29 15:17:00+00:00,211.4908,True,True,luxury newly renovated 1 bedroom apartment for rent,1650,R,https://newyork.craigslist.org/brx/fee/d/bronx-luxury-newly-renovated-1-bedroom/6923251727.html,40.8729,-73.8278,True,False,True,10475,Northeast Bronx,Bronx
368,31067,1240 Edward L Grant Hwy,545.0,1.0,78.0,,98.0,2019-06-29 17:06:00+00:00,105.2763,False,True,Neat Move in day 1BR Apt.. $1150,1155,R,https://newyork.craigslist.org/brx/abo/d/bronx-neat-move-in-day-1br-apt-1150/6923265164.html,40.8376,-73.9216,True,False,True,10452,High Bridge and Morrisania,Bronx
389,31515,173 E Clifford Pl,720.0,1.0,59.0,,96.0,2019-06-30 11:30:00+00:00,15.2649,True,True,"1695 GRAND CONCOURSE, 1BR, NEAR B/D TRAIN, BX . LEBANON MED. CENTER",1400,L,https://newyork.craigslist.org/brx/nfb/d/bronx-1695-grand-concourse-1br-near-d/6923685822.html,40.8458,-73.9109,True,False,True,10453,Central Bronx,Bronx
390,31534,18 E 199th St,1000.0,2.0,86.0,,94.0,2019-06-30 11:09:00+00:00,58.9516,True,True,18 EAST 199 STREET. RENOVATED 2 BR. 1 BLOCK FROM B/D/#4 EXPRESS TRAIN,1800,R,https://newyork.craigslist.org/brx/nfb/d/bronx-18-east-199-street-renovated-2-br/6923672268.html,40.8719,-73.8895,True,False,True,10468,Bronx Park and Fordham,Bronx
392,31612,99 W 192nd St,990.0,1.0,72.0,,97.0,2019-06-30 12:05:00+00:00,2.4685,True,True,Massive gut renovated1 bedroom apartment,850,R,https://newyork.craigslist.org/brx/nfb/d/bronx-massive-gut-renovated1-bedroom/6923709461.html,40.8671,-73.9020,True,False,True,10468,Bronx Park and Fordham,Bronx
399,31895,1001 Tinton Ave,805.0,2.0,78.0,,93.0,2019-06-30 18:10:00+00:00,61.6030,True,True,Newly Renovated 2 bedrooms 1 Bath unit is a private house,2095,L,https://newyork.craigslist.org/brx/abo/d/bronx-newly-renovated-2-bedrooms-1-bath/6923893634.html,40.8240,-73.9026,True,False,True,10456,High Bridge and Morrisania,Bronx
405,31973,3095 Kingsbridge Ave,1000.0,3.0,68.0,92.0,98.0,2019-06-30 20:17:00+00:00,11.5590,True,True,2 blocks from  Manhattan College,2200,L,https://newyork.craigslist.org/brx/abo/d/bronx-2-blocks-from-manhattan-college/6924015978.html,40.8798,-73.9067,True,False,True,10463,Kingsbridge and Riverdale,Bronx
424,32386,3095 Kingsbridge Ave,1100.0,3.0,68.0,,98.0,2019-07-01 13:42:00+00:00,11.5590,True,True,Three (3) Bedroom Two (2) Bath PVT House On Saxon Avenue,2500,L,https://newyork.craigslist.org/brx/abo/d/bronx-three-3-bedroom-two-2-bath-pvt/6924354437.html,40.8798,-73.9067,True,False,True,10463,Kingsbridge and Riverdale,Bronx
436,32671,640 Longfellow Ave,1000.0,1.0,80.0,,89.0,2019-07-01 17:26:00+00:00,99.0189,True,True,No Credit No Papers? to demonstrate Financial confirmation I can help,1350,R,https://newyork.craigslist.org/brx/abo/d/bronx-no-credit-no-papers-to/6924657826.html,40.8139,-73.8841,True,False,True,10474,Hunts Point and Mott Haven,Bronx
445,32787,953 E 232nd St,1100.0,3.0,70.0,,87.0,2019-07-01 19:19:00+00:00,140.6985,False,True,3Bdrm Apartment for rent,1900,L,https://newyork.craigslist.org/brx/abo/d/bronx-3bdrm-apartment-for-rent/6924685810.html,40.8904,-73.8503,True,False,True,10466,Northeast Bronx,Bronx
449,32871,Henry Hudson Pkwy N,1200.0,2.0,37.0,81.0,76.0,2019-07-01 19:56:00+00:00,NaN,True,True,Enormous 2 bed - Riverdale - 2700,2700,R,https://newyork.craigslist.org/brx/fee/d/bronx-enormous-2-bed-riverdale/6924776457.html,40.8802,-73.9184,True,False,True,10463,Kingsbridge and Riverdale,Bronx
451,32879,Henry Hudson Pkwy N,985.0,1.0,37.0,81.0,76.0,2019-07-01 19:53:00+00:00,NaN,True,True,Large 1 bed - Riverdale - 1800,1800,R,https://newyork.craigslist.org/brx/fee/d/bronx-large-1-bed-riverdale/6924774669.html,40.8802,-73.9184,True,False,True,10463,Kingsbridge and Riverdale,Bronx
452,32882,1106 Olmstead Ave,600.0,1.0,68.0,88.0,95.0,2019-07-01 19:49:00+00:00,24.6154,True,True,Charming one-bedroom in  Castle Hill,1500,R,https://newyork.craigslist.org/brx/abo/d/bronx-charming-one-bedroom-in-castle/6924724136.html,40.8296,-73.8536,True,False,True,10472,Southeast Bronx,Bronx
456,32923,1384 Waters Pl,2000.0,2.0,84.0,86.0,79.0,2019-07-01 22:43:00+00:00,170.5821,True,True,Beautiful Home for Rent,2950,L,https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-home-for-rent/6924855119.html,40.8465,-73.8410,True,False,True,10461,Southeast Bronx,Bronx
460,32995,1090 Lydig Ave,1200.0,3.0,85.0,87.0,86.0,2019-07-02 00:30:00+00:00,23.5034,True,True,DON’T MISS OUT ON THIS GORGEOUS 3BED 2 FULL BATH,2800,R,https://newyork.craigslist.org/brx/abo/d/bronx-dont-miss-out-on-this-gorgeous/6924871186.html,40.8546,-73.8572,True,False,True,10461,Southeast Bronx,Bronx
462,33070,1384 Waters Pl,1200.0,1.0,84.0,,79.0,2019-07-02 05:23:00+00:00,170.5821,True,True,renovated modern apartment with Tons amenities,2200,L,https://newyork.craigslist.org/brx/abo/d/bronx-renovated-modern-apartment-with/6924931813.html,40.8465,-73.8410,True,False,True,10461,Southeast Bronx,Bronx
